eta,epsilon,verified,falsified,timed_out,errored,total,verified_ratio
0.005,0.005,7912,94,0,0,8006,0.9882588058955784
0.005,0.01,7912,94,0,0,8006,0.9882588058955784
0.005,0.05,7895,111,0,0,8006,0.9861353984511616
0.005,0.1,7843,163,0,0,8006,0.9796402697976516
0.005,0.5,5524,2482,0,0,8006,0.6899825131151637
0.01,0.005,7912,94,0,0,8006,0.9882588058955784
0.01,0.01,7912,94,0,0,8006,0.9882588058955784
0.01,0.05,7895,111,0,0,8006,0.9861353984511616
0.01,0.1,7845,161,0,0,8006,0.9798900824381712
0.01,0.5,5540,2466,0,0,8006,0.6919810142393205
0.05,0.005,7914,92,0,0,8006,0.988508618536098
0.05,0.01,7912,94,0,0,8006,0.9882588058955784
0.05,0.05,7896,110,0,0,8006,0.9862603047714216
0.05,0.1,7866,140,0,0,8006,0.9825131151636272
0.05,0.5,5627,2379,0,0,8006,0.7028478641019236
0.1,0.005,7914,92,0,0,8006,0.988508618536098
0.1,0.01,7914,92,0,0,8006,0.988508618536098
0.1,0.05,7897,109,0,0,8006,0.9863852110916812
0.1,0.1,7882,124,0,0,8006,0.9845116162877842
0.1,0.5,5778,2228,0,0,8006,0.7217087184611541
0.5,0.005,7919,87,0,0,8006,0.989133150137397
0.5,0.01,7919,87,0,0,8006,0.989133150137397
0.5,0.05,7906,100,0,0,8006,0.9875093679740194
0.5,0.1,7894,112,0,0,8006,0.986010492130902
0.5,0.5,6807,1199,0,0,8006,0.8502373220084937
